marriagedur;Divorces1960;married1960;Divorces1970;married1970;Divorces1980;married1980
-1;;23651;;29370;;22230
0;10;23641;12;29358;4;22226
1;34;23607;27;29331;31;22195
2;97;23510;123;29208;164;22031
3;147;23363;317;28891;356;21675
4;191;23172;429;28462;467;21208
5;203;22969;454;28008;455;20753
6;181;22788;401;27607;460;20293
7;170;22618;401;27206;426;19867
8;162;22456;377;26829;415;19452
9;134;22322;313;26516;390;19062
10;149;22173;316;26200;423;18639
11;139;22034;323;25877;359;18280
12;149;21885;318;25559;400;17880
13;138;21747;291;25268;369;17511
14;152;21595;292;24976;342;17169
15;160;21435;323;24653;294;16875
16;167;21268;264;24389;;
17;151;21117;272;24117;;
18;153;20964;281;23835;;
19;153;20811;282;23553;;
20;155;20656;317;23236;;
21;153;20503;284;22952;;
22;160;20343;269;22683;;
23;150;20193;269;22414;;
24;144;20049;292;22122;;
25;135;19914;231;21891;;
26;109;19805;;;;
27;132;19673;;;;
28;122;19551;;;;
29;88;19463;;;;
30;74;19389;;;;
31;64;19325;;;;
32;66;19259;;;;
33;61;19198;;;;
34;59;19139;;;;
35;38;19101;;;;
